cell_id,target_date,terrain_type,fire_occurred,year_1_avg_temp,year_1_max_temp,year_1_total_precip,year_1_dry_days,year_1_fire_occurred,year_2_avg_temp,year_2_max_temp,year_2_total_precip,year_2_dry_days,year_2_fire_occurred,year_3_avg_temp,year_3_max_temp,year_3_total_precip,year_3_dry_days,year_3_fire_occurred,avg_temp_trend,fire_frequency,avg_fire_size,neighbor_avg_temp,neighbor_max_temp,neighbor_total_precip,neighbor_dry_days,neighbor_fire_frequency,neighbor_terrain_types,terrain_type_encoded,area_km2,historical_fire_frequency,elevation,is_water,urban_flag,elevation_m,distance_to_urban_km
101741,2023-07-19,forest,1.0,17.686666666666664,32.4,39.199999999999996,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.843333333333334,0.0,0.0,26.5,26.5,0.0,8.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
101741,2023-07-20,forest,1.0,17.533333333333335,32.4,39.199999999999996,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.76666666666667,0.0,0.0,28.1,28.1,0.0,8.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
101741,2023-07-21,forest,1.0,17.13333333333333,32.4,38.1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.566666666666665,0.0,0.0,24.2,24.2,34.4,0.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
101741,2023-07-22,forest,1.0,16.866666666666664,32.4,39.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.433333333333334,0.0,0.0,20.0,20.0,0.0,8.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
101741,2023-07-23,forest,1.0,16.426666666666662,32.4,39.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.213333333333331,0.0,0.0,22.5,22.5,0.0,8.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
101741,2022-08-02,forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,18.9,16.0,0.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
101741,2024-04-15,forest,0.0,1.9399999999999993,15.1,8.5,12.0,0.0,-5.413333333333333,8.8,3.1999999999999997,13.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9700000000000009,0.0,0.0,13.9,13.9,0.0,8.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
101741,2022-03-21,forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,112.0,0.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
101741,2022-03-10,forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.9,-16.9,8.8,0.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
101741,2023-11-20,forest,0.0,-8.326666666666666,3.6,7.300000000000001,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163333333333334,0.0,0.0,1.4,1.4,16.0,0.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
92131,2022-08-02,forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,17.7,106.4,0.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
92131,2024-04-15,forest,0.0,2.833333333333333,15.0,4.8,14.0,0.0,-3.293333333333332,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4166666666666674,0.0,0.0,12.9,12.9,0.0,8.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
92131,2022-03-21,forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,96.8,0.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
92131,2022-03-10,forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.1,-15.1,1.6,8.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
92131,2023-11-20,forest,0.0,-8.386025403784439,3.2,13.7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193012701892221,0.0,0.0,3.0,3.0,17.6,0.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
92131,2024-02-13,forest,0.0,-15.46,0.3,16.700000000000003,14.0,0.0,-20.446666666666665,1.8,13.4,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.73,0.0,0.0,-3.1,-3.1,3.2,8.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
92131,2022-01-31,forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.7,-13.7,10.4,0.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
92131,2022-10-23,forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,7.2,8.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
92131,2023-11-11,forest,0.0,-11.086666666666668,-1.2,15.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.543333333333334,0.0,0.0,3.6,3.6,0.0,8.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
92131,2023-01-09,forest,0.0,-23.353333333333328,-2.1,8.200000000000001,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.676666666666668,0.0,0.0,-9.2,-9.2,0.0,8.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
98496,2023-05-05,forest,1.0,20.165731677648424,25.99038105676658,23.167949192431124,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.082865838824212,0.0,0.0,27.725,27.8,0.0,7.0,0.75,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
98496,2022-08-02,forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.232050807568875,23.232050807568875,22.928203230275507,0.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
98496,2024-04-15,forest,0.0,17.5,19.76794919243112,17.009618943233416,0.0,0.0,2.12,19.76794919243112,10.967949192431123,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.749999999999998,0.0,0.0,9.7375,10.7,0.4,8.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
98496,2022-03-21,forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6499999999999995,6.0,0.0,8.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
98496,2022-03-10,forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.9875,-5.2,0.0,7.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
98496,2023-11-20,forest,0.0,-5.54,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7700000000000005,0.0,0.0,2.0096189432334235,2.0096189432334235,20.0,0.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
98496,2024-02-13,forest,0.0,-7.253333333333334,5.6,9.233974596215562,12.0,0.0,-6.173333333333334,7.5,7.200000000000001,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.626666666666666,0.0,0.0,-2.2375,-0.4,0.0,8.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
98496,2022-01-31,forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.925,-11.2,2.8000000000000003,7.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
98496,2022-10-23,forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.232050807568882,8.232050807568882,20.062177826491073,1.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
98496,2023-11-11,forest,0.0,-9.199358737117771,3.1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.599679368558886,0.0,0.0,2.0096189432334235,2.0096189432334235,20.0,0.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
58996,2022-08-02,forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,32.0,0.0,8.0,0.0,1.0,1.0,100.0,0.3333333333333333,0.0,,,,
